gene_id,gene_symbol,log2fc_x,q_value_x,is_de_x,log2fc_y,q_value_y,is_de_y,comparison_id_x,comparison_id_y,sign_concordant,significance_class
ENSG00000182177,ASB18,-0.7725847934590894,0.030768915398005133,True,-0.6783260011223242,0.025603925719625026,True,ckd_vs_normal,aki_vs_normal,True,both_sig
ENSG00000100628,ASB2,0.15863480469972585,0.25683509108376495,False,1.400693802268646,4.029336044153927e-05,True,ckd_vs_normal,aki_vs_normal,True,y_only_sig
ENSG00000115239,ASB3,0.14365418403516073,0.13849322925550808,False,0.09715193757170977,0.18947127557782997,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000005981,ASB4,-0.08471350156776866,0.5473002551406031,False,-0.33292258687932025,0.17826608623492893,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000164122,ASB5,0.0036168341906505103,0.9836561223964473,False,-0.20419582527763325,0.38633509171002206,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000148331,ASB6,2.216814434257519e-05,0.9951837305717166,False,-0.12203259124132386,0.2871217971845655,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000183475,ASB7,0.20734248273519698,0.05781048713280766,False,0.17779319789655565,0.0783471019617568,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000177981,ASB8,0.008837360924699835,0.9618395509906964,False,0.029049811939538026,0.8232955942878329,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000102048,ASB9,0.048004459939039866,0.7694335482796983,False,-0.6457113072448405,0.0014096517198158992,True,ckd_vs_normal,aki_vs_normal,False,y_only_sig
ENSG00000138303,ASCC1,-0.15162033027730426,0.16726454868386664,False,-0.23864334949981428,0.007162597187683646,True,ckd_vs_normal,aki_vs_normal,True,y_only_sig
ENSG00000100325,ASCC2,0.1267929007025295,0.1567516759661455,False,0.03773865282643857,0.6647639492780809,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000112249,ASCC3,-0.03191905114272335,0.8125680937446469,False,0.3100668208625896,0.0014910598111675048,True,ckd_vs_normal,aki_vs_normal,False,y_only_sig
ENSG00000139352,ASCL1,-0.013730367280429843,,False,-0.04803372170844716,,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000183734,ASCL2,-0.20374077919785927,0.24681423824890159,False,-0.17282288258688386,0.5202790713007142,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000176009,ASCL3,-0.007818685141421613,,False,0.05319565768383128,0.804496367280135,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000187855,ASCL4,0.23090683757830588,0.1005843991503585,False,-0.17450957305897677,0.49527645573492085,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000232237,ASCL5,-0.08797265119835043,0.6192237872173065,False,0.027383946434435404,0.9564539938514746,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000286053,ASDURF,-0.04883421920586501,,False,-0.008419487131852931,,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000111875,ASF1A,-0.08227395422714948,0.6361298203815403,False,0.05907225697616119,0.7643699633962947,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000105011,ASF1B,-0.057208540853499516,0.7522856689777266,False,1.2202308075995256,2.1470130889449718e-08,True,ckd_vs_normal,aki_vs_normal,False,y_only_sig
ENSG00000141505,ASGR1,0.0491723035947846,0.7263924790542673,False,-0.0877451972297267,0.7400645611855562,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000161944,ASGR2,0.100431060910029,0.3556564238504096,False,0.11296468818070556,0.6657805939275492,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000116539,ASH1L,0.15761726429337164,0.18160596949014027,False,0.024429967071165022,0.8524075181415663,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000235919,ASH1L-AS1,-0.6787272757313725,0.003953828067128041,True,-0.5035870786634523,0.010928003045845321,True,ckd_vs_normal,aki_vs_normal,True,both_sig
ENSG00000227773,ASH1L-IT1,0.11675499865058371,0.43029345977188665,False,0.042177109130539826,0.8747867115419024,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000129691,ASH2L,0.10853297480386459,0.13255229505326707,False,0.047452013363874807,0.542586285063527,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000110881,ASIC1,0.06973741727354935,0.6660737499668419,False,-0.061795128660575224,0.8158314603825789,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000108684,ASIC2,-0.09446547683952028,0.5568515760728292,False,0.2914901698466405,0.22313723681598868,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000213199,ASIC3,0.004642121288204674,0.9663019756787664,False,-0.43399974916695266,0.06330287942081762,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000072182,ASIC4,0.09565750708710898,0.39234375065961574,False,0.15346064661189043,0.5331768880461804,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000256394,ASIC5,-0.1370775271363041,0.35094483771159357,False,-1.9068563925509838,5.5349853383846175e-05,True,ckd_vs_normal,aki_vs_normal,True,y_only_sig
ENSG00000101440,ASIP,-0.07984729714303651,0.5895629213174833,False,-0.6746281297424067,0.0015557542380187158,True,ckd_vs_normal,aki_vs_normal,True,y_only_sig
ENSG00000126522,ASL,0.024563446029933805,0.9188421016912108,False,-0.09953807895562058,0.5572183632813072,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000196433,ASMT,0.021256895117209264,0.8660040818589373,False,-0.05093827276232422,0.8343292122016484,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000169093,ASMTL,0.06197704794907794,0.6744952963243481,False,-0.06933698934787505,0.6313817839326133,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000236017,ASMTL-AS1,0.1727883627979727,0.2786572463288457,False,-0.035460457746834095,0.8919982005771157,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000070669,ASNS,-0.0034488029197707664,0.9938904174860634,False,0.33722097697112474,0.035526180925614555,True,ckd_vs_normal,aki_vs_normal,False,y_only_sig
